Name,Price,Rating,Review Count,City,Country,Latitude,Longitude,Categories
Holiday Inn,$$,3.5,2,San Nicolás de Los Garza,MX,25.7413699049469,-100.302425243109,['hotels']
Best Western Plus Monterrey Aeropuerto,$$,3.5,5,Apodaca,MX,25.7703245822016,-100.189123733758,['hotels']
Wyndham Garden Monterrey Norte,$$,2.0,3,San Nicolas De Los Garz,MX,25.7444809882068,-100.302805335387,['hotels']
Gran Hotel Ancira,$$,4.5,7,Monterrey,MX,25.665925,-100.31241,['hotels']
LQ Hotel by La Quinta Monterrey Centro,$$,5.0,2,Monterrey,MX,25.6846652,-100.3178712,['hotels']
Hotel Safi Royal Luxury,$$$,4.0,8,Monterrey,MX,25.67326,-100.31973,['hotels']
Holiday Inn,$$$,4.0,4,Monterrey,MX,25.6762687128563,-100.288663668931,['hotels']
Crowne Plaza Monterrey,$$$,3.5,13,Monterrey,MX,25.6646985373629,-100.314110937737,['hotels']
Sheraton Ambassador Hotel,$$,3.0,9,Monterrey,MX,25.666318,-100.313788,['hotels']
Fiesta America Pabellon M,$$$,5.0,1,Monterrey,MX,25.6655804041311,-100.317111976227,['hotels']
Holiday Inn Express,$$$,4.0,1,Monterrey,MX,25.674735,-100.3649402,['hotels']
Hampton Inn Monterrey-Galerías Obispado,$$,2.0,3,Monterrey,MX,25.67765,-100.35212,['hotels']
Four Points By Sheraton Galerías Monterrey,$$,3.5,6,Monterrey,MX,25.682897,-100.355478,['hotels']
Courtyard Monterrey San Jeronimo/Valle,$$,2.5,7,Monterrey,MX,25.6745138600059,-100.364366769791,['hotels']
Best Western Valle Real,$$,4.0,1,Monterrey,MX,25.672375,-100.389814,['hotels']
Hotel Hilton Garden Inn Aeropuerto,$$$,4.5,4,Apodaca,MX,25.7745899592319,-100.112483538687,['hotels']
City Express Monterrey Aeropuerto,$$$,5.0,1,Apodaca,MX,25.78541,-100.13345,['hotels']
Courtyard Monterrey Airport,$$,4.0,4,Apodaca,MX,25.7888355045814,-100.143164992333,['hotels']
Holiday Inn Express Hotel & Suites,$$,4.0,5,Monterrey,MX,25.786327,-100.136451,['hotels']
Fairfield Inn,$,4.0,1,Monterrey,MX,25.78611,-100.14481,['hotels']
Hampton Inn,$$,4.0,2,Ciudad Apodaca,MX,25.7889889188958,-100.144264838912,['hotels']
Crowne Plaza Hotel Monterrey Aeropuerto,$$$,2.5,2,Monterrey,MX,25.786164,-100.135768,['shopping']
Grand Fiesta Americana,$$$,5.0,5,Monterrey,MX,25.65143,-100.332497,['hotels']
Camino Real Monterrey,$$$,4.5,19,Monterrey,MX,25.650302,-100.334698,['hotels']
Hotel Novotel,$$$,3.0,6,Monterrey,MX,25.647457351601,-100.32865757642,['hotels']
Safi Royal Luxury Valle,$$$,4.0,25,Monterrey,MX,25.649748,-100.33397,['hotels']
Quinta Real,$$$,4.5,20,Monterrey,MX,25.6492592850617,-100.334006942728,['hotels']
MS MILENIUM,$$$,4.0,13,San Pedro Garza García,MX,25.6534798618904,-100.339256912689,['hotels']
Holiday Inn Monterrey Valle,$$,3.0,1,Zona San Agustín,MX,25.6505478804173,-100.33104230389,['hotels']
Hotel Colonial,$$,3.0,1,Monterrey,MX,25.5782,-100.249,['hotels']
Hotel Habita,$$,4.0,18,Monterrey,MX,25.6513828416862,-100.367880378629,['hotels']
Hotel NH Collection Monterrey,$$,3.0,16,Monterrey,MX,25.650579,-100.359248,['hotels']
Hotel Cocoa,$,4.0,9,Del Valle,MX,25.6557442017715,-100.360539745951,"['desserts', 'breakfast_brunch']"
Hotel Chipinque,$$,3.5,6,Olinala,MX,25.639364,-100.354438,['hotels']
